id,matricule,groupe_code
1377,224,6 - EPG2
1378,224,6 - EC
1379,225,2 - HGS1
1380,225,2 - EPF1
1381,225,2 - A1
1382,225,2 - CPC1
1383,226,6 - Hop2
1384,226,6 - Sc4
1385,226,6 - H2
1386,226,6 - LM1 - A2
1387,226,6 - LM2 - E3
1388,226,6 - M4h4
1389,226,6 - CPC3
1390,226,6 - EPG1
1391,227,4 - EC1
1392,227,4 - Sc1
1393,227,4 - EPG3
1394,228,LS
1395,228,4 - LM1 - DI
1396,228,4 - LM2 - N2
1397,228,4 - ScOp3
1398,228,4 - EPF1
1399,228,4 - L
1400,228,4 - RC
1401,228,3
1402,229,4 - EPG2
1403,229,4 - Sc3
1404,229,4 - RC
1405,229,4 - EC2
133,23,5 - EPF1
134,23,5 - LM1 - AI
135,23,5 - Phy
136,23,5 - ScOp3
137,23,5 - LM2 - N2
138,23,5 - RI
139,23,5 - M4h3
140,23,3
1406,230,3 - CPC1
1407,230,3 - EPG4
1408,230,3 - ScOp1
1409,231,3 - M
1410,231,3 - LM1 - A3
1411,231,3 - SC2
1412,231,3 - HG4
1413,231,3 - LM2 - E4
1414,231,3 - SO1
1415,231,3 - EPF2
1416,232,1 - EPF2
1417,232,1 - A4
1418,232,1 - HGS3
1419,232,1 - RI
1420,233,2 - EPG3
1421,233,2 - RI
1422,234,1 - EPG2.
1423,234,1 - AI
1424,234,1 - RI
1425,235,3 - EPF1
1426,235,3 - SC3
1427,235,3 - LM1 - AI2
1428,235,3 - LM2 - E4
1429,235,3 - EC2
1430,236,5 - H3
1431,236,5PAX - tout sauf LA
1432,236,5 - ScOp1
1433,236,5 - CPC2
1434,236,5 - Phy
1435,236,5 - M
1436,236,1
1437,236,5 - LM2 - N2
1438,236,5 - LM1 - A4
1439,236,5 - EPG2
1440,236,5 - M6h1
1441,237,1
1442,237,2 - RP
1443,237,2 - EPF3
1444,238,5
1445,238,6 - Sc2
1446,238,6 - H2
1447,238,6 - Phy
1448,238,6 - LM1 - A2
1449,238,6 - LM2 - D
1450,238,1
1451,238,6 - M4h2
1452,238,6 - EPG2
1453,238,6 - Labo
1454,238,6 - CPC2
1455,239,4 - LM1 - AI
1456,239,4 - RI
1457,239,4 - Sc2
1458,239,4 - LM2 - E4
1459,239,4 - EPF4
1460,239,4 - EC1
141,24,6 - Sc3
142,24,6 - H3
143,24,6 - LM1 - A3
144,24,6 - M4h1
145,24,6 - Commu1
146,24,6 - LM2 - N1
147,24,6 - CPC2
148,24,6 - EPG1
1461,240,4 - LM2 - E4
1462,240,4 - Sc3
1463,240,4 - EPG4
1464,240,4 - CPC5
1465,240,4 - HG5
1466,240,4 - LM1 - A5
1467,241,6 - Hop2
1468,241,6 - Sc3
1469,241,6 - LM1 - A3
1470,241,6 - LM2 - E3
1471,241,6 - H4
1472,241,6 - EPF2
1473,241,6PAV-tout sauf SO
1474,241,6 - M4h3
1475,241,6 - CPC3
1476,242,2 - CPC2
1477,242,2 - EPF3
1478,243,2 - RI
1479,243,2 - HGS2
1480,243,2 - EPF2
1481,243,2 - A2
1482,244,3 - EPG4
1483,244,3 - ScOp1
1484,244,3 - M
1485,245,5 - LM1 - A3
1486,245,5 - CPC1
1487,245,5 - LM2 - E1
1488,245,5 - Commu1
1489,245,5 - H2
1490,245,5 - EPG3
1491,245,5 - Sc1
1492,245,5 - M4h4
1493,246,2 - CPC4
1494,246,2 - EPG3
1495,247,1 - CPC2
1496,247,1 - EPG2.
1497,247,1 - HGS3
1498,247,1 - N
1499,248,3 - EPF1
1500,248,3 - SO2
1501,248,3 - LM1 - AI2
1502,248,3 - SC4
1503,248,3 - LM2 - I
1504,249,5 - LM1 - AI
1505,249,5 - Phy
1506,249,5 - ScOp3
1507,249,5 - RC
1508,249,5 - EPG1
1509,249,5 - LM2 - E4
1510,249,5 - M4h3
1511,249,3
149,25,4 - ScOp1
150,25,4 - EPG1
151,25,4 - CPC2
1512,250,4 - LM2 - A
1513,250,4 - EPG2
1514,250,4 - HG6
1515,250,4 - RI
1516,250,4 - Sc4
1517,250,4 - LM1 - N
1518,251,2 - RC
1519,251,2 - AI
1520,251,2 - AI1
1521,251,2 - EPG1
1522,252,5 - LM1 - A3
1523,252,5 - CPC1
1524,252,5 - LM2 - E1
1525,252,5 - Hop
1526,252,5 - EPF3
1527,252,5 - H2
1528,252,5 - Sc1
1529,252,5 - M4h4
1530,253,6 - Sc3
1531,253,6 - H3
1532,253,6 - LM1 - A3
1533,253,6 - M
1534,253,6 - M4h1
1535,253,6 - Commu1
1536,253,6 - LM2 - N1
1537,253,6 - EPG1
1538,254,1 - EPF2
1539,254,1 - AI
1540,254,1 - RC
1541,255,1 - M
1542,255,1
1543,255,1 - EPF1
1544,255,2 - DI
1545,256,2 - EPF1
1546,256,1
1547,256,2 - NI
1548,256,2 - M
1549,257,2 - CPC2
1550,257,2 - EPF3
1551,258,5
1552,258,5 - EPF4
1553,258,5 - Sc3
1554,258,5 - M4h1
1555,258,5 - LM2 - A1
1556,258,5 - CPC4
1557,258,5 - EC
1558,258,6 - LM1 - NI
1559,259,4 - ScOp1
