id,groupe_code,classe,option,LM1,LM2,LM3
334,3 - EPF2,3PAT,,,,
335,6 - H3,6PAU,,,,
336,6 - Sc1,6PAX,,,,
337,4 - EC2,4PAU,,,,
338,4 - EC2,4PAV,,,,
339,4 - EC2,4PAW,,,,
340,4 - SO2,4PAU,,,,
341,4 - SO2,4PAV,,,,
342,4 - SO2,4PAW,,,,
343,4 - L+LS,4PAV,,,,
344,4 - Sc1,4PAT,,,,
345,1 - EPF1,1PAA,,,,
346,1 - EPF1,1PAB,,,,
347,4 - EPF3,4PAT,,,,
348,4 - EPF3,4PAW,,,,
349,4 - EPG3,4PAT,,,,
350,4 - EPG3,4PAW,,,,
351,1 - HGS4,1PAE,,,,
352,1 - HGS4,1PAF,,,,
353,1 - HGS3,1PAC,,,,
354,1 - HGS3,1PAD,,,,
